Chioggia chilli beetroot chips,https://food52.com/recipes/3378-chioggia-chilli-beetroot-chips,"2 chioggia beetroots, Peanut oil, to deep fry, Salt and chilli pepper/cayenne, to taste"
Beetroot & onion seed soup,http://www.bbcgoodfood.com/recipes/beetroot-onion-seed-soup,"250g cooked beetroot, 100g canned lentils, 1 small apple, 1 crushed garlic clove, 1 tsp onion seeds (nigella), plus extra to serve, 250ml vegetable stock"
"Beetroot, Sumac And Sweet Potato Salad",http://www.mostlyeating.com/a-warm-beetroot-sumac-and-sweet-potato-salad,"6 beetroot, any colour, washed but unpeeled, 2 medium or large sweet potato, Half a red onion, finely diced, 2 tbsp orange juice, 2 tsp olive oil, 1 tsp sumac"
"Stir Fried Beetroots with Lime, Ginger and Toasted Whole Spices",http://honestcooking.com/stir-fried-beetroots-with-lime-ginger-and-toasted-whole-spices/,"6 medium sized fresh beetroots (if your beetroots are larger you can use 4), 3 tablespoons walnut or olive oil, ¾ teaspoon whole black mustard seeds, ½ teaspoon cumin seeds, 1 shallot, very finely chopped, 1 tablespoon fresh ginger paste, ½ teaspoon red chili powder, 1 teaspoon white sesame seeds, 1 lime, 11/2 teaspoons finely minced cilantro"
Roast beetroot,http://www.bbc.co.uk/food/recipes/roastbeetroot_72797,"6 beetroots, unpeeled, 3 medium unpeeled red onions, 4 unpeeled whole garlic cloves, 4 tbsp olive oil, 50ml/2fl oz vegetable stock, 2 tbsp balsamic vinegar, 1 sprigs of thyme, leaves picked and chopped, Salt and freshly ground black pepper"
"Beetroot, carrot & orange salad",http://www.jamieoliver.com/recipes/vegetable-recipes/beetroot-carrot-orange-salad/,"750 g carrots, 500 g raw beetroot, olive oil, 2 oranges, 1 tablespoon sesame seeds, ½ a bunch of fresh coriander, extra virgin olive oil"
Taro And Beetroot Chips With Smoky Coriander Salt,http://www.donnahay.com.au/recipes/fastfood/nibbles/taro-and-beetroot-chips-with-smoky-coriander-salt,"vegetable oil, for deep-frying, 2 (500g) taro, peeled and thinly sliced, 1 (300g) large beetroot, peeled and thinly sliced+, ¼ cup (125g) sea salt flakes, 1 tablespoon coriander seeds"
"Lentil, Beetroot and Hazelnut Salad With a Ginger Dressing",https://www.epicurious.com/recipes/food/views/lentil-beetroot-and-hazelnut-salad-with-a-ginger-dressing-56389906,"1 cup Puy lentils, rinsed, 2 3/4 cup filtered water, Sea salt, 3 cooked beetroot, cut into small cubes, 2 spring onions, finely sliced, 2 tablepoons hazelnuts, roughly chopped, A handful of fresh mint, roughly chopped, A handful of fresh parsley, roughly chopped, 3/4-inch cube of fresh ginger, peeled and roughly chopped, 6 tablepoons olive oil, 1 teaspoon Dijon mustard, 1 tablespoon apple cider vinegar, Pinch of sea salt and freshly ground black pepper"
"Roasted beetroot, red onion & watercress salad",http://www.jamieoliver.com/recipes/vegetables-recipes/roasted-beetroot-red-onion-watercress-salad/,"2 x 600 g bunches beetroot (12 - 15 beets), 5 tablespoons olive oil, 3 tablespoons baby capers, 4 red onions, 4 cloves of garlic, 125 ml white wine, a few sprigs of fresh dill, a few sprigs of fresh mint leaves, a few sprigs of fresh flat-leaf parsley leaves, 2 x 75 g bags of watercress, VINAIGRETTE, 3 tablespoons balsamic vinegar, 1 tablespoon Dijon mustard, 4 tablespoons extra virgin olive oil"
Tangy Beetroot & Bean Salad,http://www.bbcgoodfood.com/recipes/10606/,"5 tbsp extra-virgin olive oil, 1 small shallot , finely chopped, zest 1 orange, 1½ tbsp sherry vinegar, 3 thyme sprigs, 250 g bunch beetroot, 1.0kg frozen soya beans"
